date_sold,year_sold,price,bedrooms,year_quarter,MA,normalized_price
2007-10-25,2007,590000,4,2007_Q4,548969.0,1.0573476702508962
2007-10-25,2007,645000,5,2007_Q4,735904.0,0.8927335640138409
2007-10-25,2007,770000,4,2007_Q4,548969.0,1.3799283154121864
2007-10-26,2007,1100000,5,2007_Q4,735904.0,1.5224913494809689
2007-11-02,2007,365000,3,2007_Q4,421291.0,0.8588235294117647
2007-11-02,2007,612500,4,2007_Q4,548969.0,1.0976702508960574
2007-11-05,2007,472500,4,2007_Q4,548969.0,0.8467741935483871
2007-11-05,2007,600000,5,2007_Q4,735904.0,0.8304498269896193
2007-11-07,2007,372500,3,2007_Q4,421291.0,0.8764705882352941
2007-11-08,2007,395000,3,2007_Q4,421291.0,0.9294117647058824
2007-11-08,2007,497000,2,2007_Q4,441854.0,1.42
2007-11-08,2007,595000,4,2007_Q4,548969.0,1.0663082437275986
2007-11-12,2007,465000,2,2007_Q4,441854.0,1.3285714285714285
2007-11-12,2007,505000,4,2007_Q4,548969.0,0.9050179211469535
2007-11-16,2007,379000,3,2007_Q4,421291.0,0.8917647058823529
2007-11-16,2007,505000,3,2007_Q4,421291.0,1.188235294117647
2007-11-17,2007,380000,3,2007_Q4,421291.0,0.8941176470588236
2007-11-17,2007,655000,4,2007_Q4,548969.0,1.1738351254480286
2007-11-17,2007,760000,3,2007_Q4,421291.0,1.7882352941176471
2007-11-17,2007,760500,3,2007_Q4,421291.0,1.7894117647058823
2007-11-20,2007,442500,4,2007_Q4,548969.0,0.793010752688172
2007-11-22,2007,560000,4,2007_Q4,548969.0,1.003584229390681
2007-11-23,2007,560000,4,2007_Q4,548969.0,1.003584229390681
2007-11-24,2007,335000,3,2007_Q4,421291.0,0.788235294117647
2007-11-24,2007,575000,3,2007_Q4,421291.0,1.3529411764705883
2007-11-27,2007,439000,3,2007_Q4,421291.0,1.0329411764705883
2007-11-29,2007,353000,3,2007_Q4,421291.0,0.8305882352941176
2007-11-30,2007,425000,3,2007_Q4,421291.0,1.0
2007-11-30,2007,825000,3,2007_Q4,421291.0,1.9411764705882353
2007-12-01,2007,930000,5,2007_Q4,735904.0,1.28719723183391
2007-12-03,2007,365000,3,2007_Q4,421291.0,0.8588235294117647
2007-12-03,2007,387000,3,2007_Q4,421291.0,0.9105882352941177
2007-12-04,2007,620000,4,2007_Q4,548969.0,1.1111111111111112
2007-12-05,2007,825000,3,2007_Q4,421291.0,1.9411764705882353
2007-12-06,2007,335000,3,2007_Q4,421291.0,0.788235294117647
2007-12-07,2007,350000,3,2007_Q4,421291.0,0.8235294117647058
2007-12-08,2007,421000,3,2007_Q4,421291.0,0.9905882352941177
2007-12-08,2007,545000,4,2007_Q4,548969.0,0.9767025089605734
2007-12-12,2007,635000,4,2007_Q4,548969.0,1.1379928315412187
2007-12-13,2007,357500,3,2007_Q4,421291.0,0.8411764705882353
2007-12-13,2007,400000,4,2007_Q4,548969.0,0.7168458781362007
2007-12-13,2007,1105000,4,2007_Q4,548969.0,1.9802867383512546
2007-12-14,2007,259000,2,2007_Q4,441854.0,0.74
2007-12-14,2007,437500,3,2007_Q4,421291.0,1.0294117647058822
2007-12-15,2007,530000,4,2007_Q4,548969.0,0.9498207885304659
2007-12-19,2007,630000,3,2007_Q4,421291.0,1.4823529411764707
2007-12-20,2007,615000,4,2007_Q4,548969.0,1.1021505376344085
2007-12-21,2007,332000,3,2007_Q4,421291.0,0.7811764705882352
2007-12-21,2007,490000,3,2007_Q4,421291.0,1.1529411764705881
2008-01-02,2008,309000,2,2008_Q1,441854.0,0.8828571428571429
2008-01-14,2008,413000,3,2008_Q1,416031.0,1.0455696202531646
2008-01-15,2008,445000,4,2008_Q1,552484.0,0.8725490196078431
2008-01-15,2008,600000,4,2008_Q1,552484.0,1.1764705882352942
2008-01-17,2008,417500,2,2008_Q1,441854.0,1.1928571428571428
2008-01-17,2008,462500,4,2008_Q1,552484.0,0.9068627450980392
2008-01-17,2008,485000,4,2008_Q1,552484.0,0.9509803921568627
2008-01-18,2008,580000,4,2008_Q1,552484.0,1.1372549019607843
2008-01-24,2008,560000,4,2008_Q1,552484.0,1.0980392156862746
2008-01-24,2008,575000,4,2008_Q1,552484.0,1.1274509803921569
2008-01-24,2008,1035000,4,2008_Q1,552484.0,2.0294117647058822
2008-01-30,2008,485000,3,2008_Q1,416031.0,1.2278481012658229
2008-02-01,2008,599000,4,2008_Q1,552484.0,1.1745098039215687
2008-02-04,2008,349000,3,2008_Q1,416031.0,0.8835443037974684
2008-02-07,2008,360000,3,2008_Q1,416031.0,0.9113924050632911
2008-02-07,2008,375000,3,2008_Q1,416031.0,0.9493670886075949
2008-02-07,2008,405000,3,2008_Q1,416031.0,1.0253164556962024
2008-02-08,2008,395000,3,2008_Q1,416031.0,1.0
2008-02-09,2008,417000,3,2008_Q1,416031.0,1.0556962025316456
2008-02-09,2008,560000,3,2008_Q1,416031.0,1.4177215189873418
2008-02-09,2008,650000,4,2008_Q1,552484.0,1.2745098039215685
2008-02-11,2008,416000,4,2008_Q1,552484.0,0.8156862745098039
2008-02-12,2008,749000,4,2008_Q1,552484.0,1.468627450980392
2008-02-15,2008,575000,4,2008_Q1,552484.0,1.1274509803921569
2008-02-15,2008,625000,3,2008_Q1,416031.0,1.5822784810126582
2008-02-16,2008,610000,5,2008_Q1,735904.0,0.9428129829984544
2008-02-19,2008,445000,4,2008_Q1,552484.0,0.8725490196078431
2008-02-21,2008,655000,5,2008_Q1,735904.0,1.0123647604327666
2008-02-23,2008,500000,4,2008_Q1,552484.0,0.9803921568627451
2008-02-23,2008,515000,2,2008_Q1,441854.0,1.4714285714285715
2008-02-23,2008,811000,5,2008_Q1,735904.0,1.2534775888717156
2008-02-27,2008,590000,4,2008_Q1,552484.0,1.1568627450980393
2008-02-27,2008,645000,5,2008_Q1,735904.0,0.9969088098918083
2008-02-27,2008,730000,4,2008_Q1,552484.0,1.4313725490196079
2008-02-29,2008,342000,3,2008_Q1,416031.0,0.8658227848101265
2008-02-29,2008,471000,4,2008_Q1,552484.0,0.9235294117647059
2008-02-29,2008,488000,3,2008_Q1,416031.0,1.2354430379746835
2008-03-13,2008,646000,4,2008_Q1,552484.0,1.2666666666666666
2008-03-14,2008,655000,4,2008_Q1,552484.0,1.2843137254901962
2008-03-15,2008,580000,3,2008_Q1,416031.0,1.4683544303797469
2008-03-19,2008,405000,3,2008_Q1,416031.0,1.0253164556962024
2008-03-20,2008,695000,4,2008_Q1,552484.0,1.3627450980392157
2008-04-09,2008,420000,4,2008_Q2,559580.0,0.8235294117647058
2008-04-09,2008,503000,3,2008_Q2,419628.0,1.2734177215189872
2008-04-10,2008,380000,3,2008_Q2,419628.0,0.9620253164556962
2008-04-11,2008,334000,3,2008_Q2,419628.0,0.8455696202531645
2008-04-11,2008,395000,3,2008_Q2,419628.0,1.0
2008-04-11,2008,467500,4,2008_Q2,559580.0,0.9166666666666666
2008-04-14,2008,522500,3,2008_Q2,419628.0,1.3227848101265822
2008-04-14,2008,635000,5,2008_Q2,735904.0,0.98145285935085
2008-04-14,2008,690000,4,2008_Q2,559580.0,1.3529411764705883
2008-04-14,2008,780000,4,2008_Q2,559580.0,1.5294117647058822
2008-04-15,2008,679000,5,2008_Q2,735904.0,1.0494590417310665
2008-04-18,2008,467000,3,2008_Q2,419628.0,1.1822784810126583
2008-04-21,2008,649000,5,2008_Q2,735904.0,1.0030911901081916
2008-04-22,2008,675000,4,2008_Q2,559580.0,1.3235294117647058
2008-04-23,2008,415000,3,2008_Q2,419628.0,1.0506329113924051
2008-04-23,2008,445000,4,2008_Q2,559580.0,0.8725490196078431
2008-04-24,2008,450000,3,2008_Q2,419628.0,1.139240506329114
2008-04-29,2008,680000,4,2008_Q2,559580.0,1.3333333333333333
2008-04-29,2008,950000,4,2008_Q2,559580.0,1.8627450980392157
2008-04-30,2008,485000,3,2008_Q2,419628.0,1.2278481012658229
2008-05-01,2008,640000,4,2008_Q2,559580.0,1.2549019607843137
2008-05-02,2008,332000,2,2008_Q2,441854.0,0.9485714285714286
2008-05-02,2008,622500,4,2008_Q2,559580.0,1.2205882352941178
2008-05-02,2008,775000,4,2008_Q2,559580.0,1.5196078431372548
